rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,rssi,channels
1536033093870855589,,0,,1536033093,870154591,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033093905433751,,1,,1536033093,904980561,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033093946929338,,2,,1536033093,946469535,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033094005617984,,3,,1536033094,4471784,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1117, 1500]"
1536033094045901431,,4,,1536033094,45760601,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033094105329214,,5,,1536033094,104809222,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1117, 1500]"
1536033094145984473,,6,,1536033094,145649012,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033094202345793,,7,,1536033094,201916542,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033094232441272,,8,,1536033094,231616845,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033094292066186,,9,,1536033094,291303261,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033094333516684,,10,,1536033094,333325240,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033094382861926,,11,,1536033094,382572929,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033094442694309,,12,,1536033094,442376262,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033094483672092,,13,,1536033094,481505772,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033094553788760,,14,,1536033094,552388627,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033094582322788,,15,,1536033094,582102480,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033094643188117,,16,,1536033094,642686263,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033094682385717,,17,,1536033094,682078282,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033094742575036,,18,,1536033094,741809361,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033094782166299,,19,,1536033094,781763123,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033094831644545,,20,,1536033094,831248745,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033094882878074,,21,,1536033094,882514700,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033094932603503,,22,,1536033094,932258130,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033094981983172,,23,,1536033094,981630598,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033095032447875,,24,,1536033095,31523770,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033095092693484,,25,,1536033095,92241857,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033095141855683,,26,,1536033095,141089433,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033095183850061,,27,,1536033095,183361220,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033095232060304,,28,,1536033095,231500173,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033095281988790,,29,,1536033095,281650079,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033095332092394,,30,,1536033095,331680731,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033095382649939,,31,,1536033095,382530422,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1117, 1500]"
1536033095434348757,,32,,1536033095,433128705,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033095482376869,,33,,1536033095,481951218,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033095543175321,,34,,1536033095,542704443,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033095593726840,,35,,1536033095,593382454,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033095632275444,,36,,1536033095,631852655,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
1536033095693364930,,37,,1536033095,693166836,'',255,"[1496, 1500, 1099, 1500, 1901, 1099, 1099, 1118, 1118, 1500]"
